question,label
"Кибальчича 10 - убрали раздельный сбор и теперь перевалочный пункт строительных отходов",template
"Какие часы работы библиотек в Питере?",relevant
"Как можно сдать батарейки на переработку в Санкт-Петербурге?",relevant
"Как подать заявление на регистрацию брака онлайн?",template
"Как зарегистрировать автомобиль в ГИБДД?",template
"Как отказаться от навязанной страховки?",template
"Как активировать подарочную карту Ozon?",template
"Где можно найти инфорамцию о работе администрации города?",relevant
"Как арендовать автомобиль?",template
"Как завести собаку?",template
"Как стать донором крови?",template
"Как устроиться на работу курьером?",template
"Как узнать свой ИНН?",template
"Кто знает, когда откроется новый парк в Приморском районе?",relevant
"Когда уберут мусор с моей улицы?",template
"Как зарегистрироваться на сайте госуслуг?",relevant
"Как подключиться к VPN?",template
"Как получить налоговый вычет за обучение?",template
"Как продать квартиру самостоятельно?",template
"Хотела узнать график уборки парадных в доме.",template
"Кибальчича 10 - убрали раздельный сбор и теперь перевалочный пункт строительных отходов",relevant
"Какие часы работы библиотек в Питере?",relevant
"Как можно сдать батарейки на переработку в Санкт-Петербурге?",relevant
"Где можно найти ближайшую станцию метро?",relevant
"Кто знает, когда откроется новый парк в Приморском районе?",relevant
"Когда уберут мусор с моей улицы?",template
"Как зарегистрироваться на сайте госуслуг?",relevant
"Где можно найти ближайшую аптеку?",relevant
"Кто отвечает за уборку снега на моем дворе?",template
"Когда в Питере будут праздновать День города?",relevant
"Где можно узнать о курсах по английскому языку?",template
"Где узнать сколько стоит проезд на метро в Санкт-Петербурге?",relevant
"Какую продукцию можно сдать на переработку в нашем городе?",relevant
"Когда будут производиться замены старых лифтов в домах?",template
"Где в Петербурге можно найти курсы здоровья и фитнеса?",relevant
"Где находится ближайший пункт выдачи по заказам?",template
"Какие имеются скидки для студентов в музеях?" ,relevant
"Когда начнется ремонт на проспекте Невском?",template
"Как можно установить индивидуальные счетчики на воду?",relevant
"Как закрыть банковский счет?",template
"Как создать электронную почту на Яндекс?",template
"Как оплатить штраф за парковку?",template
"Как заполнить декларацию 3-НДФЛ?",template
"Как взять кредит в банке ВТБ?",template
"Как снять наличные без комиссии?",template
"Как подать заявку на участие в конкурсе?",template
"Есть ли специальные мероприятия для пожилых людей в нашем районе?",template
"Как подать заявку на участие в волонтерской программе?",relevant
"Когда в Питере будут праздновать День города?",template
"Какие в Санкт-Петербурге общественные туалеты открыты круглосуточно?",relevant
"Есть ли в Санкт-Петербурге отделение банка рядом с метро?",template
"Что делать, если на моем доме не горит свет в подъезде?",relevant
"Где можно найти парковку в центре города?",template
"Как подать жалобу на плохое качество обслуживания в магазине?",relevant
"Как заменить ИНН при смене фамилии?",template
"Как установить программу «Мой офис» на компьютер?",template
"Как найти информацию о расписании электричек?",template
"Как воспользоваться льготами на проезд в общественном транспорте?",relevant
"Как отправить посылку через Почту России?",template
"Как изменить тариф мобильного оператора Билайн?",template
"Когда в Питере начнется отопительный сезон?",relevant
"Какие рестораны работают до поздней ночи в центре Санкт-Петербурга?",relevant
"Как найти ближайшую поликлинику?",relevant
"Какие районы Санкт-Петербурга лучше для проживания?",relevant
"Как скачать фильм легально?",template
"Как отменить заказ на AliExpress?",template
"Как оставить отзыв о работе компании?",template
"Как подписаться на рассылку новостей?",template
"Где я могу получить информацию о записи в детский сад?",relevant
"Как зарегистрировать свой бизнес в Питере?",relevant
"Кто может помочь с ремонтом в подъезде?",relevant
"Как подключить интернет в своей квартире в Санкт-Петербурге?",relevant
"Где можно найти сервисы для аренды велосипедов?",template
"Как подать заявление на льготы для пенсионеров?",relevant
"Когда заканчиваются школьные каникулы?",template
"Как узнать, какие улицы будут перекрыты на праздники?",relevant
"Как написать жалобу на некачественные услуги ЖКХ?",relevant
"Как подключить услугу «Домашний интернет» от Ростелекома?",template
"Как составить резюме для поиска работы?",template
"Как перевести деньги через мобильное приложение Сбербанка?",template
"Как связаться с технической поддержкой оператора связи МТС?",template
"Как вернуть товар в магазин?",template
"Как получить разрешение на строительство в Санкт-Петербурге?",relevant
"Какие преимущества дает карта петербуржца?",relevant
"Как сменить номер телефона в личном кабинете Тинькофф банка?",template
"Как подтвердить учетную запись на Госуслугах?",template
"Как пройти тест на знание ПДД?",template
"Как добавить карту в Apple Pay?",template
"Как забронировать отель через Booking.com?",template
"Как посмотреть расписание занятий в университете?",template
"Как узнать, когда будут проведены работы по ремонту дорог?",relevant
"Где можно посмотреть расписание автобусов и маршруток?",relevant
"Как получить информацию по вопросам ЖКХ?",relevant
"Когда на Невском будет проходить марш?",template
"Где в Питере можно найти точку для утилизации старой электроники?",template
"Когда у вас будет следующая программа по утилизации отходов?",template
"Где находится ближайший пункт приема вторичных сырьевых материалов?",relevant
"Сколько стоит посещение Эрмитажа?",template
"Где можно подобрать помощь для утилизации старой мебели и бытовой техники?",relevant
"Как скоро будут установлены новые остановки общественного транспорта?",template
"Кто организует уборку территории возле моего дома?",template
"Можно ли узнать расписание работы городского транспорта?",relevant
"Где в Питере можно сдать стеклотару на переработку?",relevant
"Каковы часы работы главной библиотеки в Санкт-Петербурге?",relevant
"Когда будет отремонтирована дорога на улице Ленина?",template
"Когда у вас будет следующая программа по утилизации отходов?",template
"Где находится ближайший пункт приема вторичных сырьевых материалов?",relevant
"Сколько стоит посещение Эрмитажа?",template
"Где можно подобрать помощь для утилизации старой мебели и бытовой техники?",relevant
"Как скоро будут установлены новые остановки общественного транспорта?",template
"Кто организует уборку территории возле моего дома?",relevant
"Можно ли узнать расписание работы городского транспорта?",template
"Где в Питере можно сдать стеклотару на переработку?",relevant
"Каковы часы работы главной библиотеки в Санкт-Петербурге?",template
"Когда будет отремонтирована дорога на улице Ленина?",relevant
"Как сделать жалобу на плохую уборку во дворе?",template
"Где в центре города можно найти общественные туалеты?",relevant
"Когда планируется открытие нового медицинского центра?",template
"Кто отвечает за освещение улиц во дворе?",relevant
"Как записаться на консультацию в муниципальный детский сад?",template
"Где можно получить информацию о местных соревнованиях по спорту?",relevant
"Как сделать жалобу на плохую уборку во дворе?",template
"Где в центре города можно найти общественные туалеты?",relevant
"Как поменять прописку?",template
"Как настроить Wi-Fi роутер?",template
"Как сделать запрос на получение выписки из ЕГРН?",template
"Как поставить машину на учет в другом регионе?",template
"Как отключить платную подписку на Мегафоне?",template
"Как выбрать подходящий тариф на электроэнергию?",template
"Как купить билет на поезд через сайт РЖД?",template
"Как рассчитать пенсию по старости?",template
